"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"06-Mar-2023","EQ","492.00","496.75","489.00","489.95","490.00","490.15","493.17","620.60","473.70",3007451,"1,483,172,623.35",89845
"03-Mar-2023","EQ","485.30","492.55","481.60","482.80","490.15","489.95","488.76","620.60","473.70",2983486,"1,458,209,658.75",63975
"02-Mar-2023","EQ","490.00","491.25","481.65","489.75","482.20","482.80","485.04","620.60","473.70",2618651,"1,270,141,309.50",65434
"01-Mar-2023","EQ","488.90","490.85","484.40","488.80","489.95","489.75","488.12","620.60","473.70",1591916,"777,043,686.15",52784
"28-Feb-2023","EQ","490.90","491.70","484.55","488.70","488.90","488.80","488.14","620.60","473.70",3271808,"1,597,102,750.70",55789
"27-Feb-2023","EQ","482.85","490.90","478.00","482.85","490.50","488.70","483.98","620.60","473.70",2587409,"1,252,251,406.90",52345
"24-Feb-2023","EQ","488.50","490.00","482.00","486.85","482.95","482.85","484.47","620.60","473.70",2436219,"1,180,269,431.30",55777
"23-Feb-2023","EQ","494.45","494.95","486.15","494.45","487.70","486.85","489.73","620.60","473.70",4158416,"2,036,510,490.85",100903
"22-Feb-2023","EQ","500.60","501.75","492.50","501.05","493.95","494.45","495.64","620.60","473.70",2728046,"1,352,139,031.10",61121
"21-Feb-2023","EQ","510.90","514.80","500.05","507.95","500.70","501.05","505.80","620.60","473.70",2669387,"1,350,188,506.70",73816
"20-Feb-2023","EQ","506.30","522.75","500.25","504.25","506.60","507.95","509.16","620.60","473.70",6129396,"3,120,846,956.30",93109
"17-Feb-2023","EQ","514.55","514.55","501.50","514.60","504.00","504.25","506.85","620.60","473.70",4312084,"2,185,583,894.95",65224
"16-Feb-2023","EQ","519.00","522.00","512.70","519.10","514.50","514.60","516.92","620.60","473.70",1983991,"1,025,565,808.40",49089
"15-Feb-2023","EQ","510.75","520.00","509.65","512.05","518.10","519.10","516.34","620.60","473.70",2497424,"1,289,512,683.05",62837
"14-Feb-2023","EQ","515.40","517.45","507.65","514.50","512.00","512.05","512.08","620.60","473.70",2233957,"1,143,974,548.80",70798
"13-Feb-2023","EQ","522.55","526.00","512.15","522.55","514.90","514.50","516.62","620.60","473.70",3063664,"1,582,764,382.15",63488
"10-Feb-2023","EQ","519.80","528.40","518.30","518.65","522.00","522.55","523.78","623.70","473.70",7239045,"3,791,670,054.60",151824
"09-Feb-2023","EQ","508.55","522.70","502.20","508.55","519.70","518.65","515.96","623.70","473.70",9516815,"4,910,316,514.80",332232
"08-Feb-2023","EQ","484.80","510.30","483.50","482.95","508.30","508.55","499.20","623.70","473.70",10571918,"5,277,462,394.30",275271
"07-Feb-2023","EQ","483.90","491.50","482.00","482.05","483.30","482.95","484.72","623.70","473.70",7117626,"3,450,066,562.65",236922
"06-Feb-2023","EQ","487.00","489.75","473.70","488.90","482.95","482.05","480.86","623.70","473.70",7441590,"3,578,382,913.70",199612
"03-Feb-2023","EQ","496.00","499.00","481.00","492.70","486.80","488.90","488.13","647.30","481.00",10593983,"5,171,219,027.70",310017
"02-Feb-2023","EQ","499.00","505.25","483.05","515.70","493.00","492.70","493.60","647.30","483.05",17269387,"8,524,203,879.40",494967
"01-Feb-2023","EQ","582.90","584.65","502.35","578.85","516.40","515.70","529.71","647.30","497.05",22671272,"12,009,285,004.50",347146
"31-Jan-2023","EQ","587.95","589.50","572.95","587.95","579.50","578.85","578.76","647.30","497.05",3073978,"1,779,087,220.35",83272
"30-Jan-2023","EQ","586.80","592.35","583.30","587.70","586.50","587.95","587.38","647.30","497.05",2843943,"1,670,482,224.80",57786
"27-Jan-2023","EQ","586.45","593.90","578.05","585.05","587.95","587.70","588.05","647.30","497.05",3632289,"2,135,980,970.40",92513
